Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
La Femme Nikita,1,Action & Adventure,USA,13/01/1997,68,7,8.3,15
Marvel's Iron Fist,1,"Drama,Action & Adventure,Fantasy",Netflix,17/03/2017,37,21,6,1296
Neverland,1,"Drama,Movie/Mini-Series,Action & Adventure",SyFy,04/12/2011,59,14,6.9,15
Frontier,1,"Drama,Action & Adventure",Netflix,20/01/2017,52,11,6.5,53
Hunters,1,"Drama,Action & Adventure,Science Fiction",SyFy,11/04/2016,34,12,5.2,41
Blood & Treasure,1,"Drama,Action & Adventure",CBS,21/05/2019,52,7,4.5,10
Condor,1,"Drama,Action & Adventure,Suspense",Audience Network,06/06/2018,66,7,6.3,25
Doctor Who,8,"Comedy,Drama,Action & Adventure,Science Fiction",BBC-1,23/08/2014,80,8,7.1,340
Warehouse 13,2,"Comedy,Drama,Action & Adventure,Fantasy,Science Fiction",SyFy,06/07/2010,72,8,7.8,33
The Little Drummer Girl,1,"Drama,Soap,Movie/Mini-Series,Action & Adventure,Suspense",AMC,19/11/2018,75,18,7.2,51
The Tick (2017),1,"Comedy,Action & Adventure,Fantasy",Amazon Prime,25/08/2017,72,23,7.4,89
The Tick,1,"Comedy,Action & Adventure,Fantasy",FOX,08/11/2001,82,26,8.7,10
The Thundermans,1,"Comedy,Action & Adventure,Kids",Nickelodeon,14/10/2013,43,4,3,23
The Storm,1,"Drama,Action & Adventure",NBC,26/07/2009,32,5,3.5,4
The Enemy Within,1,"Drama,Action & Adventure,Suspense",NBC,25/02/2019,55,11,6.3,26
The Equalizer,1,"Drama,Action & Adventure",CBS,18/09/1985,53,6,not available,not available
Southland,4,"Drama,Action & Adventure,Suspense",NBC,17/01/2012,87,7,8.5,64
Southland,3,"Drama,Action & Adventure,Suspense",NBC,04/01/2011,80,9,8.6,47
Southland,2,"Drama,Action & Adventure,Suspense",NBC,02/03/2010,77,12,8.9,65
Taboo,1,"Drama,Action & Adventure,Suspense",FX,10/01/2017,67,32,8.4,326
Surface,1,"Drama,Action & Adventure,Science Fiction",NBC,19/09/2005,39,23,8.7,312
Swamp Thing (2019),1,"Drama,Action & Adventure,Fantasy",DC Universe,31/05/2019,67,5,7.6,52
Supernatural,1,"Drama,Action & Adventure,Fantasy,Horror,Suspense",The CW,13/09/2005,59,22,8.9,946
Strike Back,4,"Drama,Action & Adventure,Suspense",Sky One,05/05/2010,74,6,8.2,16
Strike Back,3,"Drama,Action & Adventure,Suspense",Sky One,05/05/2010,78,5,7.8,50
Strike Back,2,"Drama,Action & Adventure,Suspense",Sky One,05/05/2010,75,6,7.9,37
SuperMansion,1,"Comedy,Animation,Action & Adventure",CRACKLE,08/10/2015,59,4,7.6,11
Supergirl (2015),1,"Drama,Action & Adventure,Fantasy,Science Fiction",CBS,26/10/2015,75,33,5.6,815
Supergirl (2015),2,"Drama,Action & Adventure,Fantasy,Science Fiction",CBS,10/10/2016,81,4,5.8,171
Strike Back,1,"Drama,Action & Adventure,Suspense",Sky One,05/05/2010,64,12,8.4,68
Stitchers,1,"Drama,Action & Adventure,Science Fiction",ABC Family,02/06/2015,48,9,7.6,76
Stir Crazy,1,"Comedy,Action & Adventure",CBS,18/09/1985,45,6,not available,not available
Station 19,1,"Drama,Action & Adventure,Suspense",ABC,22/03/2018,55,10,3.9,22
Stargate SG-1,1,"Drama,Action & Adventure,Science Fiction",SHOWTIME,27/07/1997,48,8,8.1,120
Stargate Universe,1,"Drama,Action & Adventure,Science Fiction",SyFy,02/10/2009,61,9,6,497
Stargate Atlantis,1,"Drama,Action & Adventure,Science Fiction",SyFy,16/07/2004,53,5,6.9,104
Star Wars: The Clone Wars,1,"Animation,Action & Adventure,Fantasy,Science Fiction,Kids",Cartoon Network,03/10/2008,64,9,8.4,207
Star Wars Rebels,1,"Animation,Drama,Action & Adventure,Fantasy,Science Fiction,Kids",Disney XD,03/10/2014,78,4,6.6,192
Star Trek: Voyager,1,"Drama,Action & Adventure,Science Fiction",UPN,16/01/1995,66,10,8,70
Star Trek: Enterprise,1,"Drama,Action & Adventure,Science Fiction",UPN,26/09/2001,66,18,7.4,69
Star Trek: The Next Generation,1,"Drama,Action & Adventure,Science Fiction",Syndicated,28/09/1987,51,8,8.4,111
Star Trek: Discovery,2,"Drama,Action & Adventure,Science Fiction",CBS,17/01/2019,72,10,5.3,214
Star Trek: Discovery,1,"Drama,Action & Adventure,Science Fiction",CBS,24/09/2017,72,20,4.6,1294
Star Trek: Deep Space Nine,1,"Drama,Action & Adventure,Science Fiction",Syndicated,03/01/1993,74,14,8.5,80
Standoff,1,"Drama,Action & Adventure",FOX,05/09/2006,37,20,8.2,48
Southland,5,"Drama,Action & Adventure,Suspense",NBC,13/02/2013,86,9,8.3,66
Spartacus: Blood and Sand,1,"Drama,Action & Adventure",Vertex,22/01/2010,52,22,8.3,471
Southland,1,"Drama,Action & Adventure,Suspense",NBC,09/04/2009,69,22,8.5,125
Spartacus: War of the Damned,1,"Drama,Action & Adventure",Starz,25/01/2013,56,9,7.9,165
South Park,1,"Comedy,Animation,Drama,Action & Adventure",Comedy Central,13/08/1997,64,17,8.6,375
Sons of Anarchy,7,"Drama,Action & Adventure",FX,09/09/2014,68,6,6.3,151
Spartacus: Gods of the Arena,1,"Drama,Action & Adventure",Starz,21/01/2011,55,6,8.6,171
Sons of Anarchy,6,"Drama,Action & Adventure",FX,10/09/2013,74,9,7.2,164
Sons of Anarchy,5,"Drama,Action & Adventure",FX,11/09/2012,72,6,7.5,170
Sons of Anarchy,4,"Drama,Action & Adventure",FX,06/09/2011,81,13,7.8,215
Sons of Anarchy,3,"Drama,Action & Adventure",FX,07/09/2010,84,10,7.9,260
Sons of Anarchy,2,"Drama,Action & Adventure",FX,08/09/2009,86,6,8.4,276
Sons of Anarchy,1,"Drama,Action & Adventure",FX,03/09/2008,68,23,8.5,575
Son of Zorn,1,"Comedy,Animation,Action & Adventure",FOX,11/09/2016,57,19,6.8,64
Snowfall,2,"Drama,Action & Adventure",FX,19/07/2018,78,4,7.7,10
Snowfall,1,"Drama,Action & Adventure",FX,05/07/2017,62,38,6.4,35
