Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
Bless the Harts,1,"Comedy,Animation",FOX,29/09/2019,70,10,6.3,7
Big Mouth,3,"Comedy,Animation",Netflix,04/10/2019,84,5,6.6,43
Big Mouth,2,"Comedy,Animation",Netflix,05/10/2018,90,9,6.8,132
Big Mouth,1,"Comedy,Animation",Netflix,29/09/2017,80,6,6.6,227
Being Mary Jane (2014),1,"Animation,Drama,Suspense",BET,07/01/2014,67,7,7.7,9
Beavis and Butt-head,8,"Comedy,Animation,Action & Adventure",MTV,18/07/1997,67,16,7.8,53
Beavis and Butt-head,1,"Comedy,Animation,Action & Adventure",MTV,22/09/1992,76,5,8.1,25
Axe Cop,1,"Comedy,Animation",FOX,21/07/2013,73,6,7.1,30
Archer,10,"Comedy,Animation,Action & Adventure",FX,29/05/2019,74,4,7.4,18
Archer,8,"Comedy,Animation,Action & Adventure",FX,05/04/2017,72,8,6.1,74
Archer,7,"Comedy,Animation,Action & Adventure",FX,31/03/2016,78,6,8.5,72
Archer,6,"Comedy,Animation,Action & Adventure",FX,08/01/2015,78,5,8.4,99
Archer,4,"Comedy,Animation,Action & Adventure",FX,17/01/2013,79,6,9,169
Watership Down (2018),1,"Animation,Drama,Movie/Mini-Series",Netflix,23/12/2018,76,5,4.9,27
Tuca & Bertie,1,"Comedy,Animation",Netflix,03/05/2019,80,16,7.2,44
Mike Tyson Mysteries,1,"Comedy,Animation,Action & Adventure",Cartoon Network,27/10/2014,75,6,8.5,35
Mike Judge Presents: Tales from the Tour Bus,1,"Comedy,Animation,Music",Cinemax,22/09/2017,83,5,8.2,16
"Love, Death & Robots",1,"Comedy,Animation,Fantasy,Horror,Science Fiction",Netflix,15/03/2019,65,4,8.7,247
Lil' Bush,1,"Comedy,Animation",Comedy Central,13/06/2007,31,10,4.3,125
King of the Hill,1,"Comedy,Animation",FOX,12/01/1997,68,11,8.7,50
How Murray Saved Christmas,1,"Comedy,Animation,Kids",NBC,05/12/2014,60,4,not available,not available
High School USA!,1,"Comedy,Animation",FOX,21/07/2013,48,6,4.5,21
Green Eggs And Ham,1,"Animation,Kids",Netflix,08/11/2019,89,4,8.2,17
Good Vibes,1,"Comedy,Animation",MTV - Music Television,27/10/2011,58,9,7.9,8
"God, the Devil and Bob",1,"Comedy,Animation",NBC,09/03/2000,59,22,not available,not available
"Glenn Martin, DDS",1,"Comedy,Animation,Action & Adventure",Nickelodeon,17/08/2009,48,9,5.3,153
Genndy Tartakovsky's Primal,1,"Animation,Action & Adventure",Adult Swim,07/10/2019,87,5,7.4,53
Futurama,10,"Comedy,Animation,Science Fiction",FOX,19/06/2013,76,7,8.4,90
Futurama,7,"Comedy,Animation,Science Fiction",FOX,24/06/2010,76,6,8.4,117
