Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
Work It ,1,Comedy,ABC,03/01/2012,19,22,0.9,45
Amy Schumer: The Leather Special,1,Comedy,Netflix,07/03/2017,72,5,1.2,308
The Tonight Show with Jay Leno,18,"Comedy,Talk & Interview",NBC,01/03/2010,48,9,1.4,93
That '80s Show,1,Comedy,FOX,23/01/2002,31,4,1.5,4
Indebted,1,Comedy,NBC,06/02/2020,36,8,1.5,4
Uncle Buck (2016),1,Comedy,ABC,14/06/2016,37,15,1.9,36
Backpackers,1,Comedy,The CW,14/07/2014,37,5,2,8
Doctor Who,11,"Comedy,Drama,Action & Adventure,Science Fiction",BBC-1,07/10/2018,78,10,2.4,463
Dane Cook's Tourgasm,1,Comedy,HBO,11/06/2006,33,9,2.6,54
REL,1,Comedy,FOX,09/09/2018,46,6,2.6,9
Twenties,1,Comedy,BET,04/03/2020,72,8,2.6,8
Allen Gregory,1,"Comedy,Animation",FOX,30/10/2011,40,21,2.7,69
The Nightly Show with Larry Wilmore,1,"Comedy,Talk & Interview,News",Comedy Central,19/01/2015,69,18,2.7,199
The 1/2 Hour News Hour,1,"Comedy,News/Documentary,News",FOX News,18/02/2007,13,11,2.8,379
Are We There Yet?,1,Comedy,TBS,02/06/2010,46,9,2.8,23
We Are Men,1,Comedy,CBS,30/09/2013,33,19,2.8,25
I Hate My Teenage Daughter,1,Comedy,FOX,30/11/2011,36,26,2.9,30
How to Be a Gentleman,1,Comedy,CBS,29/09/2011,41,20,2.9,34
Doctor Who,12,"Comedy,Drama,Action & Adventure,Science Fiction",BBC-1,01/01/2020,80,4,3,102
Motherland,1,Comedy,Sundance Now,10/05/2018,58,4,3,6
The New Yorker Presents,1,"Comedy,News/Documentary,Talk & Interview,News,Documentary,Arts",Amazon Prime,16/02/2016,63,8,3,12
The Thundermans,1,"Comedy,Action & Adventure,Kids",Nickelodeon,14/10/2013,43,4,3,23
Bless This Mess,1,Comedy,ABC,16/04/2019,60,10,3.1,17
Chocolate News,1,Comedy,Comedy Central,15/10/2008,66,13,3.1,42
Camping,1,Comedy,HBO,12/04/2016,50,29,3.2,23
9JKL,1,Comedy,CBS,02/10/2017,36,11,3.2,37
100 Questions,1,Comedy,Vertex,27/05/2010,49,5,3.2,37
Late Night with Seth Meyers,1,"Comedy,Talk & Interview,Music",NBC,26/02/2014,61,20,3.2,69
Mad About You (2019),1,"Comedy,Drama",Spectrum,20/11/2019,54,12,3.2,5
Rush Hour (2016),1,"Comedy,Drama,Action & Adventure",CBS,31/03/2016,46,18,3.2,64
Dr. Ken,1,Comedy,ABC,02/10/2015,26,20,3.2,72
The Bill Engvall Show,1,Comedy,TBS,17/07/2007,35,7,3.3,34
Animal Practice,1,Comedy,NBC,12/08/2012,48,27,3.3,42
68 Whiskey,1,"Comedy,Drama",Paramount Network,15/01/2020,61,4,3.3,8
Roseanne's Nuts,1,"Comedy,Drama,Reality,Game Show",LIFETIME,13/07/2011,39,9,3.3,11
Howie Do It,1,"Comedy,Reality",NBC,09/01/2009,35,6,3.3,40
Flaked,1,Comedy,Netflix,11/03/2016,43,16,3.3,231
Surviving Suburbia,1,Comedy,ABC,06/04/2009,34,16,3.4,13
Punk'd,9,"Comedy,Reality",MTV,17/03/2003,59,6,3.4,5
Rob,1,Comedy,CBS,12/01/2012,29,25,3.4,38
Welcome to the Family,1,Comedy,NBC,03/10/2013,46,23,3.4,18
Working the Engels,1,Comedy,NBC,12/03/2014,48,19,3.4,11
Brews Brothers,1,Comedy,Netflix,10/04/2020,44,5,3.5,4
Do Not Disturb,1,Comedy,FOX,10/09/2008,21,16,3.5,10
Mystery Girls,1,Comedy,ABC Family,25/06/2014,51,11,3.5,12
The Paul Reiser Show,1,Comedy,NBC,14/04/2011,38,22,3.5,19
White Famous,1,Comedy,SHOWTIME,15/10/2017,54,20,3.5,24
Murphy Brown (2018),1,Comedy,CBS,27/09/2018,53,28,3.6,28
Pacific Heat,1,"Comedy,Animation",Netflix,02/12/2016,27,5,3.6,38
Our Cartoon President,1,"Comedy,Animation",SHOWTIME,11/02/2018,42,11,3.6,31
The Jay Leno Show ,1,"Comedy,Talk & Interview",NBC,14/09/2009,48,23,3.6,58
Imaginary Mary,1,Comedy,ABC,29/03/2017,39,13,3.6,21
Saint George,1,Comedy,FX,06/03/2014,31,14,3.7,20
Anchorwoman,1,"Comedy,Reality",FOX,22/08/2007,31,10,3.7,10
Courting Alex,1,Comedy,CBS,23/01/2006,39,19,3.7,26
The Inbetweeners,1,Comedy,MTV - Music Television,20/08/2012,62,9,3.7,42
Dads,1,Comedy,FOX,17/09/2013,15,28,3.8,104
Kevin Can Wait,1,Comedy,CBS,19/09/2016,39,17,3.8,109
Mr. Robinson,1,Comedy,NBC,05/08/2015,41,20,3.8,20
Murphy Brown,2,Comedy,CBS,18/09/1989,not available,not available,3.8,58
The Marriage Ref,1,Comedy,NBC,28/02/2010,40,11,3.8,77
The Winner,1,Comedy,FOX,04/03/2007,44,24,3.8,60
The Conners,1,Comedy,ABC,16/10/2018,75,22,3.9,90
The Cleveland Show,1,"Comedy,Animation",FOX,27/09/2009,55,18,3.9,209
Angel From Hell,1,"Comedy,Fantasy",CBS,07/01/2016,56,19,3.9,37
Donny!,1,Comedy,USA,10/11/2015,32,10,3.9,17
Mulaney,1,Comedy,FOX,05/10/2014,38,27,3.9,53
Riot,1,"Comedy,Reality,Game Show",FOX,13/05/2014,61,5,3.9,8
Truth Be Told (2015),1,Comedy,NBC,16/10/2015,26,20,3.9,30
Gentefied,1,"Comedy,Drama",Netflix,21/02/2020,70,11,3.9,15
In the Motherhood,1,"Comedy,Health & Lifestyle",ABC,26/03/2009,36,21,3.9,7
Significant Mother,1,Comedy,The CW,03/08/2015,42,6,4,15
Best Time Ever with Neil Patrick Harris,1,"Comedy,Variety Shows,Reality,Health & Lifestyle,Events & Specials,Music",NBC,15/09/2015,43,15,4,32
The War at Home,1,Comedy,FOX,11/09/2005,28,21,4,88
Hank,1,Comedy,ABC,30/09/2009,36,22,4,29
I Feel Bad,1,Comedy,NBC,04/10/2018,55,9,4,12
Sharknado 3: Oh Hell No!,1,"Comedy,Drama,Movie/Mini-Series,Science Fiction",SyFy,22/07/2015,53,19,4.1,53
Superior Donuts,1,Comedy,CBS,02/02/2017,56,22,4.1,33
Sullivan & Son,1,Comedy,TBS,19/07/2012,48,15,4.1,42
Inside Amy Schumer,4,Comedy,Comedy Central,21/04/2016,62,6,4.1,53
The Daily Show with Trevor Noah,1,"Comedy,Talk & Interview,News",Comedy Central,28/09/2015,64,25,4.2,102
Bad Teacher,1,Comedy,CBS,24/04/2014,51,22,4.2,32
Abby's,1,Comedy,NBC,28/03/2019,60,15,4.2,13
Outmatched,1,Comedy,FOX,23/01/2020,33,4,4.2,9
The Soul Man,1,Comedy,TV Land,20/06/2012,65,9,4.2,5
Full Frontal with Samantha Bee,1,"Comedy,Talk & Interview",TBS,08/02/2016,84,16,4.2,176
She's Gotta Have It (2017),1,"Comedy,Drama",Netflix,23/11/2017,77,23,4.3,54
Benders,1,"Comedy,Sports",IFC,01/10/2015,51,7,4.3,6
Bordertown (2016),1,"Comedy,Animation",FOX,03/01/2016,46,15,4.3,43
Conan (2010),9,"Comedy,Talk & Interview,Music",TBS,22/01/2019,65,5,4.3,4
Lil' Bush,1,"Comedy,Animation",Comedy Central,13/06/2007,31,10,4.3,125
Lopez,1,Comedy,TV Land,30/03/2016,59,10,4.3,15
Man With a Plan,1,Comedy,CBS,24/10/2016,36,25,4.3,44
Shrill,2,Comedy,HULU,24/01/2020,71,7,4.4,10
Stars Earn Stripes,1,Comedy,NBC,13/08/2012,51,9,4.4,11
Bleep My Dad Says,1,Comedy,CBS,23/09/2010,28,26,4.4,68
Chris Rock: Tamborine,1,Comedy,Netflix,14/02/2018,78,7,4.4,60
Jennifer Falls,1,Comedy,TV Land,04/06/2014,51,7,4.4,12
The Neighborhood,1,Comedy,CBS,01/10/2018,50,8,4.4,25
The Millers,1,Comedy,CBS,03/10/2013,50,26,4.4,53
Grumpy Cat's Worst Christmas Ever,1,"Comedy,Drama,Movie/Mini-Series",LIFETIME,29/11/2014,35,8,4.4,18
Big Lake,1,Comedy,Comedy Central,17/08/2010,42,11,4.5,4
Breeders,1,Comedy,FX,02/03/2020,65,13,4.5,12
Brand X With Russell Brand,1,Comedy,FX,28/06/2012,34,7,4.5,34
Dave,1,"Comedy,Music",FXX,04/03/2020,61,9,4.5,15
Dietland,1,"Comedy,Drama",AMC,04/06/2018,66,22,4.5,33
Dice (2016),1,Comedy,SHOWTIME,10/04/2016,56,16,4.5,18
A Little Late with Lilly Singh,1,"Comedy,Talk & Interview",NBC,16/09/2019,62,4,4.5,8
#blackAF,1,Comedy,Netflix,17/04/2020,61,17,4.5,15
Mary and Jane,1,Comedy,MTV - Music Television,05/09/2016,56,4,4.5,4
Nobodies,1,Comedy,TV Land,29/03/2017,60,12,4.5,21
NCIS: New Orleans,1,"Comedy,Drama,Action & Adventure,Suspense",CBS,23/09/2014,55,19,4.5,73
Partners (2014),1,Comedy,FX,04/08/2014,44,15,4.5,19
The Unicorn,1,Comedy,CBS,26/09/2019,65,13,4.5,13
The Spoils Before Dying,1,"Comedy,Movie/Mini-Series",IFC,08/07/2015,65,15,4.5,10
Whitney,1,Comedy,NBC,22/09/2011,48,25,4.5,112
Emily's Reasons Why Not,1,Comedy,ABC,09/01/2006,48,23,4.5,30
High School USA!,1,"Comedy,Animation",FOX,21/07/2013,48,6,4.5,21
The Bisexual,1,"Comedy,Drama",HULU,16/11/2018,76,5,4.6,10
Cooper Barrett's Guide to Surviving Life,1,Comedy,FOX,03/01/2016,51,14,4.6,26
Twins,1,Comedy,WB,16/09/2005,37,18,4.6,17
Welcome to the Captain,1,Comedy,CBS,04/02/2008,50,20,4.6,25
"Frankenstein’s Monster’s Monster, Frankenstein",1,Comedy,Netflix,16/07/2019,66,4,4.6,5
Inside Amy Schumer,1,Comedy,Comedy Central,30/04/2013,66,8,4.6,76
Sean Saves the World,1,Comedy,NBC,03/10/2013,43,24,4.7,40
One Big Happy,1,Comedy,NBC,17/03/2015,37,21,4.7,27
Amy Schumer: Live at the Apollo,1,Comedy,HBO,17/10/2015,77,9,4.8,53
Avenue 5,1,Comedy,HBO,19/01/2020,64,27,4.8,39
Boomerang (2019),1,Comedy,BET,12/02/2019,75,5,4.8,6
"Alex, Inc.",1,Comedy,ABC,28/03/2018,49,10,4.8,15
Life Sentence,1,"Comedy,Drama",The CW,07/03/2018,49,12,4.8,15
Transparent,5,"Comedy,Drama",Amazon Instant Video,27/09/2019,55,13,4.8,13
Free Agents (2011),1,Comedy,NBC,14/09/2011,51,23,4.8,17
Scoundrels,1,"Comedy,Action & Adventure",ABC,20/06/2010,56,18,4.9,19
Thank God You're Here,1,"Comedy,Reality",NBC,09/04/2007,39,12,4.9,27
Take My Wife,1,Comedy,Seeso,11/08/2016,84,4,4.9,11
Bull (2016),1,"Comedy,Drama",CBS,20/09/2016,40,19,4.9,107
Dear White People (2017),3,"Comedy,Drama",Netflix,02/08/2019,78,8,4.9,30
Dear White People (2017),1,"Comedy,Drama",Netflix,28/04/2017,85,21,4.9,422
Doll & Em,1,Comedy,HBO,19/03/2014,63,23,4.9,14
Room 104,1,"Comedy,Drama,Horror,Suspense",HBO,28/07/2017,65,22,4.9,38
Rocko’s Modern Life: Static Cling,1,"Comedy,Animation",Netflix,09/08/2019,78,4,4.9,11
