Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
The Alzheimer's Project,1,"Health & Lifestyle,Documentary,Science",HBO,10/05/2009,75,10,not available,not available
Taking on Tyson,1,"Drama,Documentary",Animal Planet,06/03/2011,69,10,not available,not available
The Most Dangerous Animal of All,1,"Movie/Mini-Series,Documentary",FX,06/03/2020,62,10,not available,not available
The Case Of: JonBenet Ramsey,1,"News/Documentary,Documentary",CBS,18/09/2016,33,4,4.9,10
Sinatra: All or Nothing at All,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,05/04/2015,74,11,6.3,10
The Men Who Built America,1,"Reality,News/Documentary,Documentary,Travel",The History Channel,16/10/2012,60,4,7.6,10
The Making of the Mob: New York,1,"Drama,Movie/Mini-Series,News/Documentary,Documentary",AMC,15/06/2015,59,6,7.3,10
The Confession Killer,1,"Movie/Mini-Series,Documentary",Netflix,06/12/2019,78,5,5.1,10
TIME: The Kalief Browder Story,1,"Movie/Mini-Series,News/Documentary,Documentary",Spike TV,01/03/2017,88,4,6.8,10
Town of the Living Dead,1,"Reality,News/Documentary,Documentary",SyFy,07/10/2014,62,6,6.1,10
Seduced and Abandoned,1,"Movie/Mini-Series,Documentary",HBO,28/10/2013,72,11,not available,not available
Dark Net,1,"Reality,Documentary",SHOWTIME,21/01/2016,69,6,5.3,11
Lindsay,1,"Reality,News/Documentary,Documentary",OWN,09/03/2014,59,4,4.5,11
Spectacle: Elvis Costello With...,1,"Documentary,Music",SUNDANCE,03/12/2008,75,13,6.5,11
The Fourth Estate,1,"News/Documentary,Documentary",SHOWTIME,27/05/2018,74,12,3.8,11
The Dust Bowl,1,Documentary,PBS,18/11/2012,82,17,7.4,11
Why We Hate,1,"Reality,Documentary,Science",Discovery,13/10/2019,69,4,5.6,11
The Secret Life of Marilyn Monroe,1,"Drama,Movie/Mini-Series,Documentary",LIFETIME,30/05/2015,55,12,not available,not available
Titanic,1,"Drama,Documentary",ABC,21/03/2012,51,10,3.4,12
Human Planet ,1,"Documentary,Science",Discovery,13/01/2011,79,4,8.4,12
Believer,1,"Movie/Mini-Series,Documentary,Music",HBO,25/06/2018,68,5,5.7,12
American Playboy: The Hugh Hefner Story,1,"News/Documentary,Documentary",Amazon Prime,07/04/2017,43,8,3.4,12
Dice Undisputed,1,"Comedy,Reality,Documentary",VH1,04/03/2007,42,4,7.3,12
Home Before Dark,1,"Suspense,Documentary",Apple TV+,03/04/2020,64,12,7.3,12
George Harrison: Living in the Material World,1,Documentary,HBO,05/10/2011,74,13,8,12
Marathon: The Patriot's Day Bombing,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,21/11/2016,82,7,6.1,12
Killer Inside: The Mind of Aaron Hernandez,1,"Sports,Movie/Mini-Series,Documentary",Netflix,15/01/2020,75,4,6.7,12
Six by Sondheim,1,"Movie/Mini-Series,News/Documentary,Documentary,Music",HBO,09/12/2013,85,12,7.3,12
The New Yorker Presents,1,"Comedy,News/Documentary,Talk & Interview,News,Documentary,Arts",Amazon Prime,16/02/2016,63,8,3,12
Elvis Presley: The Searcher,1,"Movie/Mini-Series,News/Documentary,Documentary,Music",HBO,14/04/2018,84,13,7.2,13
Documentary Now!,2,"Comedy,Documentary",IFC,14/09/2016,74,7,6.1,13
Project Greenlight,4,"Reality,Game Show,Documentary",HBO,13/09/2015,80,9,7.2,13
NY Med,1,Documentary,ABC,10/07/2012,84,7,7.4,13
The Case Against Adnan Syed,1,"Movie/Mini-Series,Documentary",HBO,10/03/2019,66,16,4.8,13
The Trade,1,"News/Documentary,Documentary",SHOWTIME,02/02/2018,84,5,6.7,13
The Newspaperman: The Life and Times of Ben Bradlee,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,04/12/2017,80,7,3.5,14
