Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
Meteor,1,"Drama,Action & Adventure,Science Fiction",NBC,13/07/2009,24,4,0.9,44
NYC Prep,1,"Drama,Reality,Game Show",Bravo,23/06/2009,42,8,1.4,30
The Houstons: On Our Own,1,Drama,LIFETIME,24/10/2012,43,7,1.4,11
High Society,1,"Drama,Reality,Game Show",The CW,11/03/2010,34,12,1.6,13
The Kennedys - After Camelot,1,"Drama,Movie/Mini-Series",ReelzChannel,26/12/2018,23,6,1.9,7
Batwoman,1,"Drama,Action & Adventure",The CW,06/10/2019,59,16,1.9,175
The Biggest Loser,1,"Drama,Reality,Health & Lifestyle,Game Show",NBC,19/10/2004,33,6,2,4
Southie Rules,1,Drama,A&E,29/01/2013,47,4,2,4
Bristol Palin: Life's a Tripp,1,"Drama,Reality",LIFETIME,19/06/2012,33,15,2,6
The Real Housewives of Orange County,1,"Drama,Reality,Game Show,Documentary",Bravo,21/03/2006,59,7,2.1,7
Killing Reagan,1,"Drama,Movie/Mini-Series",National Geographic Channel,16/10/2016,51,9,2.2,5
Flash Gordon,1,"Drama,Action & Adventure,Science Fiction",SyFy,10/08/2007,35,13,2.2,57
Beaches (2017),1,"Drama,Movie/Mini-Series",LIFETIME,21/01/2017,56,10,2.3,8
"Mother, May I Sleep With Danger?",1,"Drama,Horror",LIFETIME,18/06/2016,46,10,2.4,5
The Last Templar,1,"Drama,Action & Adventure,Fantasy",NBC,25/01/2009,29,7,2.4,17
William & Kate ,1,Drama,LIFETIME,18/04/2011,58,7,2.4,7
Dirty Dancing (2017),1,"Drama,Movie/Mini-Series,Music",,24/05/2017,39,16,2.4,24
Doctor Who,11,"Comedy,Drama,Action & Adventure,Science Fiction",BBC-1,07/10/2018,78,10,2.4,463
Charmed (2018),1,"Drama,Fantasy",The CW,14/10/2018,55,13,2.5,146
The Ten Commandments,1,Drama,ABC,10/04/2006,39,18,2.6,29
Sharknado 4: The 4th Awakens,1,"Drama,Movie/Mini-Series,Science Fiction",SyFy,31/07/2016,35,7,2.6,61
Flint,1,"Drama,Movie/Mini-Series",LIFETIME,28/10/2017,61,4,2.6,5
The Last Sharknado: It's About Time,1,"Drama,Movie/Mini-Series,Science Fiction",SyFy,19/08/2018,22,5,2.7,20
The Leisure Class,1,"Drama,Movie/Mini-Series",HBO,02/11/2015,25,7,2.7,26
Whitney (2015),1,"Drama,Movie/Mini-Series,Music",LIFETIME,17/01/2015,54,17,2.7,11
The Code (2019),1,Drama,CBS,09/04/2019,56,5,2.8,13
The Passion,1,"Drama,Events & Specials,Music",FOX,20/03/2016,40,9,2.8,11
There Goes the Neighborhood,1,"Drama,Reality,Game Show",CBS,09/08/2009,31,4,2.8,10
Jim Henson's Turkey Hollow,1,"Drama,Movie/Mini-Series,Action & Adventure,Fantasy",LIFETIME,21/11/2015,50,5,2.9,7
Oprah's Big Give,1,"Drama,Reality,Game Show",ABC,02/03/2008,48,19,2.9,23
The Real Housewives of Washington D.C.,1,"Drama,Reality,Game Show",Bravo,05/08/2010,59,7,2.9,15
Ghost Shark,1,"Drama,Movie/Mini-Series,Horror",SyFy,22/08/2013,32,10,2.9,9
Still Star-Crossed,1,Drama,ABC,29/05/2017,45,13,2.9,19
Charlie's Angels,1,"Drama,Action & Adventure",ABC,22/09/2011,30,22,2.9,60
National Treasure (2017),2,Drama,Channel 4,04/04/2018,73,4,3,4
A Perfect Day,1,"Drama,Movie/Mini-Series",TNT,18/12/2006,34,5,3,4
Russian Dolls,1,Drama,LIFETIME,11/08/2011,45,9,3,7
Rebel,1,Drama,BET,28/03/2017,56,6,3,11
American Soul,1,"Drama,Music",BET,05/02/2019,70,4,3,9
Doctor Who,12,"Comedy,Drama,Action & Adventure,Science Fiction",BBC-1,01/01/2020,80,4,3,102
The I-Land,1,"Drama,Action & Adventure,Suspense",Netflix,12/09/2019,7,4,3.1,35
Mad About You (2019),1,"Comedy,Drama",Spectrum,20/11/2019,54,12,3.2,5
The Purge (2018),1,"Drama,Action & Adventure,Horror,Suspense",USA,04/09/2018,44,13,3.2,26
House of Cards (2013),6,Drama,Netflix,02/11/2018,62,23,3.2,174
Rush Hour (2016),1,"Comedy,Drama,Action & Adventure",CBS,31/03/2016,46,18,3.2,64
Date My Ex: Jo & Slade,1,"Drama,Reality,Game Show",Bravo,21/07/2008,32,4,3.2,33
68 Whiskey,1,"Comedy,Drama",Paramount Network,15/01/2020,61,4,3.3,8
Genius (2017),2,"Drama,Science",National Geographic,24/04/2018,52,10,3.3,13
Roseanne's Nuts,1,"Comedy,Drama,Reality,Game Show",LIFETIME,13/07/2011,39,9,3.3,11
Texas Rising,1,"Drama,Action & Adventure",The History Channel,25/05/2015,52,12,3.3,47
Big Driver,1,"Drama,Movie/Mini-Series,Suspense",LIFETIME,18/10/2014,56,6,3.3,7
The L Word: Generation Q,1,Drama,SHOWTIME,08/12/2019,60,13,3.4,15
Titanic,1,"Drama,Documentary",ABC,21/03/2012,51,10,3.4,12
Vampire Bats,1,"Drama,Movie/Mini-Series",CBS,30/10/2005,39,7,3.4,5
Magnum P.I. (2018),1,"Drama,Action & Adventure",CBS,24/09/2018,48,18,3.5,65
The Mist (2017),1,"Drama,Horror,Suspense",Spike TV,22/06/2017,54,25,3.5,125
The Unauthorized Full House Story,1,Drama,LIFETIME,22/08/2015,34,7,3.5,4
The Storm,1,"Drama,Action & Adventure",NBC,26/07/2009,32,5,3.5,4
CSI: Cyber,1,"Drama,Suspense",CBS,04/03/2015,45,23,3.5,111
The Prisoner,1,"Drama,Action & Adventure,Suspense,Science Fiction",AMC,15/11/2009,45,21,3.6,82
Soundtrack,1,"Drama,Music",Netflix,18/12/2019,58,4,3.6,7
Altered Carbon,2,"Drama,Action & Adventure,Science Fiction",Netflix,27/02/2020,65,8,3.6,118
Almost Family,1,Drama,FOX,02/10/2019,38,11,3.7,9
Another Life,1,"Drama,Action & Adventure,Science Fiction",Netflix,25/07/2019,33,8,3.7,91
Criminal Minds: Beyond Borders,1,"Drama,Action & Adventure,Suspense",CBS,16/03/2016,28,11,3.7,61
Ironside (2013),1,"Drama,Suspense",NBC,02/10/2013,44,27,3.8,24
Killing Jesus,1,"Drama,Movie/Mini-Series",National Geographic Channel,29/03/2015,53,12,3.8,13
Liz & Dick,1,"Drama,Movie/Mini-Series",LIFETIME,25/11/2012,26,27,3.8,28
House of Versace,1,"Drama,Movie/Mini-Series",LIFETIME,05/10/2013,46,5,3.8,4
Ransom (2017),1,"Drama,Action & Adventure,Suspense",CBS,01/01/2017,46,12,3.8,35
Deputy,1,Drama,FOX,02/01/2020,51,10,3.8,21
MacGyver (2016),1,"Drama,Action & Adventure,Science",CBS,23/09/2016,38,26,3.9,145
Marvel's Inhumans,1,"Drama,Action & Adventure,Fantasy,Science Fiction",ABC,29/09/2017,27,20,3.9,172
The Letter for the King,1,"Drama,Action & Adventure,Fantasy",Netflix,20/03/2020,55,6,3.9,10
The Red Line,1,Drama,CBS,28/04/2019,65,16,3.9,16
Gentefied,1,"Comedy,Drama",Netflix,21/02/2020,70,11,3.9,15
Station 19,1,"Drama,Action & Adventure,Suspense",ABC,22/03/2018,55,10,3.9,22
Fahrenheit 451,1,"Drama,Movie/Mini-Series,Science Fiction",HBO,19/05/2018,47,19,3.9,71
Jodi Arias: Dirty Little Secret,1,"Drama,Movie/Mini-Series",LIFETIME,22/06/2013,52,7,4,9
Killing Kennedy,1,"Drama,Movie/Mini-Series",National Geographic,10/11/2013,55,13,4,6
Katy Keene,1,Drama,The CW,06/02/2020,71,8,4,14
Luther,4,"Drama,Suspense",BBC-1,17/12/2015,68,11,4,111
Pearson,1,Drama,USA,17/07/2019,54,7,4,5
13 Reasons Why,3,Drama,Netflix,23/08/2019,23,4,4,107
The Vineyard,1,"Drama,Reality",ABC Family,23/07/2013,47,5,4,24
The Real Housewives of New Jersey,1,"Drama,Reality,Game Show",Bravo,12/05/2009,62,10,4,15
The Stranger,1,"Drama,Suspense",Netflix,30/01/2020,62,5,4,20
Burden of Truth,1,Drama,The CW,25/07/2018,69,7,4,10
Lincoln Rhyme: Hunt for the Bone Collector,1,"Drama,Suspense",NBC,10/01/2020,46,4,4.1,10
The Bible ,1,"Drama,Movie/Mini-Series",The History Channel,03/03/2013,45,13,4.1,70
The Pale Horse,1,"Drama,Movie/Mini-Series",Prime Video,13/03/2020,69,6,4.1,8
Game of Thrones,8,"Drama,Action & Adventure,Fantasy",HBO,14/04/2019,75,13,4.1,1488
Hawthorne,1,Drama,TNT,16/06/2009,48,12,4.1,43
Queen Sono,1,"Drama,Action & Adventure,Suspense",Netflix,28/02/2020,70,5,4.1,16
S.W.A.T. (2017),1,"Drama,Action & Adventure",ABC,02/11/2017,45,12,4.1,48
Sharknado 3: Oh Hell No!,1,"Comedy,Drama,Movie/Mini-Series,Science Fiction",SyFy,22/07/2015,53,19,4.1,53
10.5: Apocalypse,1,"Drama,Action & Adventure",NBC,21/05/2006,23,12,4.2,54
The Twilight Zone (2019),1,Drama,CBS All Access,01/04/2019,60,37,4.2,102
Valor,1,"Drama,Action & Adventure",The CW,09/10/2017,39,10,4.2,29
Same Name,1,"Drama,Reality,Game Show",CBS,24/07/2011,48,10,4.2,5
Doubt,1,Drama,CBS,15/02/2017,58,25,4.2,33
Notorious,1,Drama,ABC,22/09/2016,32,23,4.3,47
