Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
American Gods,1,"Drama,Fantasy",Starz,30/04/2017,77,36,7.4,353
Amazing Stories,1,"Fantasy,Suspense,Science Fiction",NBC,29/09/1985,56,5,not available,not available
Alphas,1,Fantasy,SyFy,11/07/2011,63,16,7.1,92
ALF,1,"Comedy,Fantasy,Science Fiction",NBC,22/09/1986,44,7,8.4,14
A Discovery of Witches,1,"Drama,Fantasy",Sundance Now,17/01/2019,66,10,7.2,25
A Christmas Carol (2019),1,"Drama,Movie/Mini-Series,Fantasy",FX,19/12/2019,49,12,5.7,28
666 Park Avenue,1,"Drama,Action & Adventure,Fantasy,Horror,Suspense",ABC,30/09/2012,62,22,7.2,90
12 Monkeys (2015),1,"Drama,Action & Adventure,Fantasy,Suspense,Science Fiction",SyFy,16/01/2015,57,25,8.3,237
DC's Stargirl,1,"Drama,Action & Adventure,Fantasy",The CW,18/05/2020,not available,not available,not available,not available
Wynonna Earp,1,"Drama,Action & Adventure,Fantasy,Horror",SyFy,01/04/2016,68,4,7.6,144
The Last Templar,1,"Drama,Action & Adventure,Fantasy",NBC,25/01/2009,29,7,2.4,17
The Witcher,1,"Drama,Action & Adventure,Fantasy",Netflix,20/12/2019,53,17,7.6,2560
"Sabrina, the Teenage Witch",1,"Comedy,Fantasy",ABC,27/09/1996,65,16,6,50
"Midnight, Texas",1,"Drama,Action & Adventure,Fantasy,Horror,Suspense",NBC,24/07/2017,50,16,6.3,55
Jim Henson's Turkey Hollow,1,"Drama,Movie/Mini-Series,Action & Adventure,Fantasy",LIFETIME,21/11/2015,50,5,2.9,7
Fringe,1,"Drama,Action & Adventure,Fantasy,Suspense,Science Fiction",FOX,09/09/2008,67,25,8.3,524
Freakylinks,1,Fantasy,FOX,06/10/2000,43,18,not available,not available
Forever (2014),1,"Drama,Fantasy",ABC,22/09/2014,54,24,8.3,295
Fear the Walking Dead,2,"Drama,Action & Adventure,Fantasy,Horror,Suspense",AMC,10/04/2016,54,12,5.4,175
Fear the Walking Dead,1,"Drama,Action & Adventure,Fantasy,Horror,Suspense",AMC,23/08/2015,66,33,5.5,599
Fear Itself,1,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",NBC,05/06/2008,51,12,5.6,36
Extant,2,"Drama,Fantasy,Suspense,Science Fiction",CBS,01/07/2015,63,6,6.2,38
Extant,1,"Drama,Fantasy,Suspense,Science Fiction",CBS,09/07/2014,68,31,6.5,160
Emerald City,1,"Drama,Fantasy",NBC,06/01/2017,47,31,6.7,102
Eastwick,1,"Comedy,Drama,Fantasy,Horror,Suspense",ABC,23/09/2009,49,21,8.5,81
Dracula,1,"Drama,Fantasy,Horror",NBC,25/10/2013,55,33,7.7,197
Doom Patrol,1,"Drama,Action & Adventure,Fantasy,Science Fiction",DC Universe,15/02/2019,70,13,7.7,96
Dominion,1,"Fantasy,Science Fiction",SyFy,19/06/2014,47,13,8.1,179
Dollhouse,1,"Drama,Action & Adventure,Fantasy,Suspense,Science Fiction",FOX,13/02/2009,57,28,8,414
Disenchantment,1,"Comedy,Animation,Action & Adventure,Fantasy",Netflix,17/08/2018,56,27,6.8,249
Dinotopia,1,"Drama,Action & Adventure,Fantasy,Kids",ABC,28/11/2002,35,23,not available,not available
Descendants,1,"Comedy,Movie/Mini-Series,Action & Adventure,Fantasy,Science Fiction,Kids,Music",Disney Channel,31/07/2015,63,5,7.4,34
Dead of Summer,1,"Drama,Fantasy,Horror,Suspense",Freeform,28/06/2016,39,11,6.3,49
DC's Legends of Tomorrow,1,"Drama,Action & Adventure,Fantasy,Science Fiction",The CW,21/01/2016,58,22,6,348
Da Vinci's Demons,2,"Drama,Fantasy",Starz,22/03/2014,69,4,7.8,54
Da Vinci's Demons,1,"Drama,Fantasy",Starz,12/04/2013,62,27,7.7,163
Comic Book Men,1,"Comedy,Reality,Fantasy,Science Fiction,Game Show",AMC,12/02/2012,57,7,7.4,39
"Clone High, USA",1,"Comedy,Animation,Fantasy",Teletoon,02/11/2002,60,7,5.8,17
Cleverman,1,"Drama,Fantasy,Suspense,Science Fiction",Sundance Channel,01/06/2016,61,7,6.9,32
Class,1,"Drama,Fantasy,Science Fiction",Space,15/04/2017,66,8,5.6,20
Chilling Adventures of Sabrina,1,"Drama,Fantasy",Netflix,26/10/2018,74,28,6,334
Charmed (2018),1,"Drama,Fantasy",The CW,14/10/2018,55,13,2.5,146
Charmed,1,"Comedy,Drama,Fantasy",WB,07/10/1998,61,26,7.5,113
Chambers,1,"Drama,Fantasy,Suspense",Netflix,26/04/2019,48,16,5.5,18
Castlevania,1,"Animation,Drama,Action & Adventure,Fantasy",Netflix,07/07/2017,71,4,7.8,287
Into the Badlands,1,"Drama,Action & Adventure,Fantasy",AMC,15/11/2015,54,29,8.2,219
Intelligence (2013),1,"Drama,Action & Adventure,Fantasy,Science Fiction",CBS,07/01/2014,56,27,6.3,79
In The Flesh,2,"Drama,Fantasy,Horror",BBC America,05/05/2014,87,5,8.1,56
In The Flesh,1,"Drama,Fantasy,Horror",BBC America,17/03/2013,76,14,8.1,89
His Dark Materials,1,"Drama,Action & Adventure,Fantasy",HBO,04/11/2019,69,22,7.3,86
Hex,1,"Comedy,Drama,Fantasy,Horror,Suspense",Sky One,17/10/2004,66,5,8.5,59
Heroes: Reborn,1,"Drama,Action & Adventure,Fantasy,Suspense,Science Fiction",NBC,24/09/2015,53,27,4.6,190
Heroes of Cosplay,1,"Reality,Fantasy,Arts",SyFy,13/08/2013,66,5,5.2,11
Haven,1,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",SyFy,09/07/2010,53,22,7.6,105
