Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
Penny Dreadful: City Of Angels,1,"Drama,Fantasy,Horror",SHOWTIME,26/04/2020,66,8,not available,not available
Z Nation,1,"Drama,Action & Adventure,Horror",SyFy,12/09/2014,48,11,6.5,230
Wynonna Earp,1,"Drama,Action & Adventure,Fantasy,Horror",SyFy,01/04/2016,68,4,7.6,144
Van Helsing (2016),1,"Drama,Action & Adventure,Horror,Science Fiction",SyFy,23/09/2016,54,5,5.1,74
Witches of East End,1,"Drama,Fantasy,Horror",LIFETIME,06/10/2013,50,15,8.3,95
True Blood,7,"Drama,Fantasy,Horror",HBO,22/06/2014,54,6,5.1,84
True Blood,6,"Drama,Fantasy,Horror",HBO,16/06/2013,58,11,6,121
True Blood,5,"Drama,Fantasy,Horror",HBO,10/06/2012,74,14,6.9,179
True Blood,4,"Drama,Fantasy,Horror",HBO,26/06/2011,74,13,7.5,188
True Blood,3,"Drama,Fantasy,Horror",HBO,13/06/2010,79,19,7.6,285
True Blood,2,"Drama,Fantasy,Horror",HBO,14/06/2009,74,17,8.2,253
True Blood,1,"Drama,Fantasy,Horror",HBO,07/09/2008,63,30,8.1,702
The Walking Dead,9,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,07/10/2018,72,4,7,121
Tell Me a Story,1,"Drama,Horror,Suspense",CBS All Access,31/10/2018,43,6,4.7,19
Lucifer,1,"Comedy,Drama,Fantasy,Horror,Suspense",FOX,25/01/2016,49,24,8,432
Dead of Summer,1,"Drama,Fantasy,Horror,Suspense",Freeform,28/06/2016,39,11,6.3,49
Daybreak (2019),1,"Comedy,Horror",Netflix,24/10/2019,54,10,5.4,47
Dark Matters: Twisted But True,1,"Reality,Horror,Science Fiction,Documentary,Science",Science Channel,31/08/2011,64,5,6.9,7
Damien,1,"Drama,Horror",A&E,07/03/2016,37,18,7.1,120
Creepshow,1,"Drama,Horror",Shudder,26/09/2019,65,5,6.4,9
Constantine (2014),1,"Drama,Action & Adventure,Horror",NBC,24/10/2014,53,25,8.1,297
Channel Zero,4,"Drama,Horror,Suspense,Science Fiction",SyFy,26/10/2018,75,5,7.1,13
Channel Zero,1,"Drama,Horror,Suspense,Science Fiction",SyFy,11/10/2016,75,5,7.4,82
Castle Rock (2018),2,"Drama,Horror,Suspense",HULU,23/10/2019,69,9,7.6,18
Castle Rock (2018),1,"Drama,Horror,Suspense",HULU,25/07/2018,66,35,6.7,106
