Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
Anne with an E,1,"Drama,Kids",Netflix,12/05/2017,79,15,7.9,75
Trollhunters,1,"Comedy,Animation,Action & Adventure,Fantasy,Kids",Netflix,23/12/2016,69,7,8.4,66
Toy Story That Time Forgot,1,"Comedy,Animation,Drama,Kids",ABC,02/12/2014,81,8,7.8,28
Toy Story of Terror,1,"Animation,Movie/Mini-Series,Kids",ABC,16/10/2013,79,7,8.1,62
The Watsons Go to Birmingham,1,"Drama,Movie/Mini-Series,Kids,Educational",Hallmark Channel,20/09/2013,59,4,not available,not available
The Thundermans,1,"Comedy,Action & Adventure,Kids",Nickelodeon,14/10/2013,43,4,3,23
The Sarah Jane Adventures,1,"Drama,Action & Adventure,Science Fiction,Kids",BBC-1,18/04/2008,65,5,8.1,21
The Pee-wee Herman Show on Broadway,1,"Comedy,Kids",HBO,19/03/2011,54,13,7.4,7
The Nine Lives of Chloe King,1,"Science Fiction,Kids",ABC Family,14/06/2011,68,9,7.8,32
The Electric Company,1,"Comedy,Kids",PBS,19/01/2009,74,8,7.8,6
Teen Beach Movie,1,"Drama,Movie/Mini-Series,Kids,Music",Disney Channel,19/07/2013,54,6,6.4,30
Star Wars: The Clone Wars,1,"Animation,Action & Adventure,Fantasy,Science Fiction,Kids",Cartoon Network,03/10/2008,64,9,8.4,207
Star Wars Rebels,1,"Animation,Drama,Action & Adventure,Fantasy,Science Fiction,Kids",Disney XD,03/10/2014,78,4,6.6,192
Sesame Street,46,"Comedy,Kids,Educational",PBS,16/01/2016,79,6,not available,not available
You vs. Wild,1,"Reality,Action & Adventure,Kids,Science,Educational,Travel",Netflix,10/04/2019,51,4,7.2,6
Mr. Belvedere,1,"Comedy,Kids",ABC,15/03/1985,36,6,not available,not available
Lemony Snicket's A Series of Unfortunate Events (2017),1,"Comedy,Drama,Kids",Netflix,13/01/2017,81,24,8,281
How Murray Saved Christmas,1,"Comedy,Animation,Kids",NBC,05/12/2014,60,4,not available,not available
High School Musical 2,1,"Comedy,Kids,Arts,Music",Disney,17/08/2007,72,23,6.3,136
Green Eggs And Ham,1,"Animation,Kids",Netflix,08/11/2019,89,4,8.2,17
Gortimer Gibbon's Life on Normal Street,1,"Comedy,Drama,Kids",Amazon Instant Video,21/11/2014,76,5,8.3,6
Girl Meets World,1,"Comedy,Kids",Disney Channel,27/06/2014,64,10,7.5,61
Full House,1,"Comedy,Drama,Kids",ABC,22/09/1987,31,7,7.8,48
Forky Asks a Question,1,"Comedy,Animation,Kids",Disney+,12/11/2019,64,5,5.2,23
Felicity: An American Girl Adventure,1,"Drama,Kids",WB,29/11/2005,68,8,8,13
Elf: Buddy's Musical Christmas,1,"Animation,Kids,Music",NBC,16/12/2014,74,8,6.3,8
Dinotopia,1,"Drama,Action & Adventure,Fantasy,Kids",ABC,28/11/2002,35,23,not available,not available
Descendants,1,"Comedy,Movie/Mini-Series,Action & Adventure,Fantasy,Science Fiction,Kids,Music",Disney Channel,31/07/2015,63,5,7.4,34
Class of 3000,1,"Comedy,Animation,Kids,Music",Cartoon Network,03/11/2006,65,10,6.4,24
Camp Rock,1,"Comedy,Kids",Disney,20/06/2008,64,16,5.6,84
Beyond The Blackboard,1,"Drama,Kids",CBS,24/04/2011,69,5,not available,not available
