Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
112 Weddings,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,30/06/2014,74,6,not available, 6 Critic Reviews
A Very English Scandal,1,"Drama,Movie/Mini-Series",Prime Video,29/06/2018,84,17,6,59
A Raisin in the Sun,1,"Drama,Movie/Mini-Series",ABC,25/02/2008,81,19,7.6,14
A Poet In New York,1,"Drama,Movie/Mini-Series",BBC America,29/10/2014,85,6,5.3,8
A Perfect Day,1,"Drama,Movie/Mini-Series",TNT,18/12/2006,34,5,3,4
Natalie Wood: What Remains Behind,1,"Movie/Mini-Series,Documentary",HBO,05/05/2020,not available,2,not available,not available
Killing Jesus,1,"Drama,Movie/Mini-Series",National Geographic Channel,29/03/2015,53,12,3.8,13
From the Earth to the Moon,1,"Drama,Movie/Mini-Series,Action & Adventure",HBO,05/04/1998,80,20,6.5,4
Country Music,1,"Movie/Mini-Series,Documentary,Music",PBS,15/09/2019,80,20,7.5,6
ZeroZeroZero,1,"Drama,Movie/Mini-Series",Prime Video,06/03/2020,75,6,7.1,15
What's My Name: Muhammad Ali,1,"Sports,Movie/Mini-Series,Documentary",HBO,14/05/2019,85,8,6.1,8
The Wizard of Lies,1,"Drama,Movie/Mini-Series",HBO,21/05/2017,67,26,6.7,34
The New Pope,1,"Drama,Movie/Mini-Series",HBO,13/01/2020,63,12,7.1,18
Sharknado 4: The 4th Awakens,1,"Drama,Movie/Mini-Series,Science Fiction",SyFy,31/07/2016,35,7,2.6,61
Sharknado 3: Oh Hell No!,1,"Comedy,Drama,Movie/Mini-Series,Science Fiction",SyFy,22/07/2015,53,19,4.1,53
Patrick Melrose,1,"Drama,Movie/Mini-Series",SHOWTIME,12/05/2018,80,32,6,168
Paterno,1,"Drama,Sports,Movie/Mini-Series",HBO,07/04/2018,69,19,4.6,24
Mike Tyson: Undisputed Truth,1,Movie/Mini-Series,HBO,16/11/2013,71,6,6,12
Michael Jackson's Journey From Motown to Off the Wall,1,"Movie/Mini-Series,Documentary,Music",SHOWTIME,05/02/2016,79,4,9,29
McMillions,1,"Movie/Mini-Series,Business,Documentary,Food & Cooking",HBO,03/02/2020,72,15,5.6,5
Mayday,1,"Movie/Mini-Series,Documentary",CBS,02/10/2005,30,6,3.8,6
Mary and Martha,1,"Drama,Movie/Mini-Series",HBO,20/04/2013,67,9,5.8,4
Martha Behind Bars,1,Movie/Mini-Series,CBS,25/09/2005,42,8,not available, 8 Critic Reviews
Mars,1,"Drama,Movie/Mini-Series,Action & Adventure,Science Fiction,Science",National Geographic,14/11/2016,59,14,5.5,70
Marathon: The Patriot's Day Bombing,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,21/11/2016,82,7,6.1,12
Mankind: The Story of All of Us,1,"Movie/Mini-Series,News/Documentary,Documentary",The History Channel,13/11/2012,67,14,4.8,16
Manhunt (2017),1,"Drama,Movie/Mini-Series",Discovery,01/08/2017,71,17,7.7,58
Manhunt (2013),1,"Movie/Mini-Series,News/Documentary",HBO,01/05/2013,76,8,8.2,5
Man in an Orange Shirt,1,"Drama,Movie/Mini-Series",PBS,17/06/2018,72,6,5.7,6
Madoff,1,"Drama,Movie/Mini-Series",ABC,03/02/2016,61,25,5.3,19
