Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
The Goop Lab with Gwyneth Paltrow,1,"Reality,Health & Lifestyle",Netflix,24/01/2020,40,14,0.6,43
Jersey Shore,5,Reality,MTV,05/01/2012,49,4,0.8,39
Love Island (2019),1,"Reality,Game Show,Travel",CBS,09/07/2019,56,4,0.8,4
The Hunt for the Trump Tapes with Tom Arnold,1,Reality,VICELAND,18/09/2018,35,9,1,4
Jersey Shore,6,Reality,MTV,04/10/2012,33,4,1.3,32
The Proposal,1,"Reality,Game Show",ABC,18/06/2018,25,4,1.3,14
Kourtney and Kim Take New York,2,Reality,E!,27/11/2011,42,4,1.4,20
Jersey Shore,4,Reality,MTV,04/08/2011,53,4,1.4,38
NYC Prep,1,"Drama,Reality,Game Show",Bravo,23/06/2009,42,8,1.4,30
Snooki & JWOWW,1,Reality,MTV - Music Television,21/06/2012,35,5,1.4,25
The Governor's Wife (2013),1,Reality,A&E,27/10/2013,31,5,1.4,5
H8R,1,Reality,The CW,14/09/2011,30,10,1.5,12
Sarah Palin's Alaska,1,"Reality,Game Show",TLC,14/11/2010,49,20,1.5,25
High Society,1,"Drama,Reality,Game Show",The CW,11/03/2010,34,12,1.6,13
Katie,1,"Reality,Health & Lifestyle,Talk & Interview,Educational",ABC,10/09/2012,42,6,1.8,5
Most Eligible Dallas,1,"Reality,Game Show",Bravo,15/08/2011,28,6,1.8,5
Here Comes Honey Boo Boo,2,"Reality,Game Show",TLC,17/07/2013,62,7,1.9,24
LA Shrinks,1,Reality,Bravo,04/03/2013,50,4,2,4
Bristol Palin: Life's a Tripp,1,"Drama,Reality",LIFETIME,19/06/2012,33,15,2,6
Freakshow,1,"Reality,Game Show",AMC,14/02/2013,48,5,2,4
Jungle Gold,1,Reality,Discovery Channel,26/10/2012,67,4,2,33
The Briefcase,1,Reality,CBS,27/05/2015,27,5,2,12
The Biggest Loser,1,"Drama,Reality,Health & Lifestyle,Game Show",NBC,19/10/2004,33,6,2,4
The World According to Paris,1,"Reality,Game Show",Oxygen,01/06/2011,20,6,2,19
The Real Housewives of Orange County,1,"Drama,Reality,Game Show,Documentary",Bravo,21/03/2006,59,7,2.1,7
The Real Housewives of Miami,1,Reality,Bravo,20/02/2011,41,7,2.1,13
