Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
11.22.63,1,"Drama,Science Fiction",HULU,15/02/2016,69,35,7.8,224
Battlestar Galactica (2003),3,"Drama,Action & Adventure,Science Fiction",SyFy,06/10/2006,94,14,9.1,372
Babylon 5,1,"Drama,Suspense,Science Fiction",Syndicated,24/01/1994,55,13,8.7,55
Ashes to Ashes,1,"Drama,Science Fiction",BBC-1,07/03/2009,70,9,7.9,13
Ascension,1,"Drama,Action & Adventure,Science Fiction",SyFy,15/12/2014,56,14,6.8,127
Another Life,1,"Drama,Action & Adventure,Science Fiction",Netflix,25/07/2019,33,8,3.7,91
Amazing Stories,1,"Fantasy,Suspense,Science Fiction",NBC,29/09/1985,56,5,not available,not available
Zoo,1,"Drama,Action & Adventure,Suspense,Science Fiction",CBS,30/06/2015,55,26,5.8,97
Under the Dome,1,"Drama,Action & Adventure,Science Fiction",CBS,24/06/2013,72,35,5.9,450
The Rain,1,"Drama,Horror,Science Fiction",Netflix,04/05/2018,65,7,5,92
The Chronicle,1,"Drama,Science Fiction",SyFy,14/07/2001,70,7,not available,not available
Star Trek: Enterprise,1,"Drama,Action & Adventure,Science Fiction",UPN,26/09/2001,66,18,7.4,69
Philip K. Dick's Electric Dreams,1,"Drama,Science Fiction",Amazon Prime,12/01/2018,68,16,6.2,72
Mars,1,"Drama,Movie/Mini-Series,Action & Adventure,Science Fiction,Science",National Geographic,14/11/2016,59,14,5.5,70
Heroes,3,"Drama,Suspense,Science Fiction",NBC,22/09/2008,56,9,5.2,210
Face Off,1,"Drama,Reality,Science Fiction,Game Show,Arts",SyFy,26/01/2011,70,4,8.1,13
Extant,2,"Drama,Fantasy,Suspense,Science Fiction",CBS,01/07/2015,63,6,6.2,38
Extant,1,"Drama,Fantasy,Suspense,Science Fiction",CBS,09/07/2014,68,31,6.5,160
Eureka,4,"Comedy,Drama,Science Fiction",SyFy,09/07/2010,76,5,7.9,30
Eureka,1,"Comedy,Drama,Science Fiction",SyFy,18/07/2006,62,20,8.8,137
Doom Patrol,1,"Drama,Action & Adventure,Fantasy,Science Fiction",DC Universe,15/02/2019,70,13,7.7,96
Dominion,1,"Fantasy,Science Fiction",SyFy,19/06/2014,47,13,8.1,179
Dollhouse,1,"Drama,Action & Adventure,Fantasy,Suspense,Science Fiction",FOX,13/02/2009,57,28,8,414
